mag_id	sample_id	input_file	dataset	complete	single	duplicated	fragmented	missing	n_markers	scaffold_n50	contigs_n50	percent_gaps	scaffolds	length	completeness	contamination
e4516833-d28d-4085-96fc-62cb5b620e77	sample1	e4516833-d28d-4085-96fc-62cb5b620e77.fasta	bacteria_odb12	26.7	25.9	0.9	8.6	64.7	116	3629	3629	0.000%	331	1236459	35.3	3.2
133e2290-9ebd-43e5-a265-3befb511f9b2	sample2	133e2290-9ebd-43e5-a265-3befb511f9b2.fasta	bacteria_odb12	0.0	0.0	0.0	0.0	100.0	116	23256	23256	0.000%	23	370361	0.0	
260bb615-cf91-452d-8b55-4864c14d3d66	sample2	260bb615-cf91-452d-8b55-4864c14d3d66.fasta	bacteria_odb12	3.4	3.4	0.0	5.2	91.4	116	3301	3301	0.000%	152	516957	8.6	0.0
5d1cee5e-e0f8-44b2-964e-318d07cca570	sample2	5d1cee5e-e0f8-44b2-964e-318d07cca570.fasta	bacteria_odb12	96.6	94.0	2.6	2.6	0.9	116	34703	34703	0.000%	168	3746161	99.1	2.7
adbb66c3-595b-4210-ae02-8b9ce5cd1348	sample2	adbb66c3-595b-4210-ae02-8b9ce5cd1348.fasta	bacteria_odb12	9.5	9.5	0.0	3.4	87.1	116	3207	3207	0.000%	149	496725	12.9	0.0
b3609380-0c0d-4808-afa4-a29cc683ad50	sample2	b3609380-0c0d-4808-afa4-a29cc683ad50.fasta	bacteria_odb12	45.7	45.7	0.0	13.8	40.5	116	4090	4090	0.000%	356	1433657	59.5	0.0
b4557f9e-e494-4457-840c-c5e933df9b43	sample2	b4557f9e-e494-4457-840c-c5e933df9b43.fasta	bacteria_odb12	51.7	49.1	2.6	12.1	36.2	116	6084	6084	0.000%	718	3914535	63.8	5.0
